station,associatedTo,battery,rssi,position
sta1, ,100, ,(40.48, 100.36, 0.0)
sta2, ,100, ,(40.48, 100.36, 0.0)
sta3, ,100, ,(40.48, 100.36, 0.0)
sta4, ,100, ,(40.48, 100.36, 0.0)
sta5, ,100, ,(40.4, 160.0, 0.0)
sta6, ,100, ,(40.4, 160.0, 0.0)
sta7, ,100, ,(40.4, 160.0, 0.0)
sta8, ,100, ,(40.4, 160.0, 0.0)
sta1,ap4,100,-76.0,(40.96, 100.72, 0.0)
sta2,ap4,100,-76.0,(40.96, 100.72, 0.0)
sta3,ap4,100,-76.0,(40.96, 100.72, 0.0)
sta4,ap4,100,-76.0,(40.96, 100.72, 0.0)
sta5,ap1,100,-61.0,(40.8, 160.0, 0.0)
sta6,ap1,100,-61.0,(40.8, 160.0, 0.0)
sta7,ap1,100,-61.0,(40.8, 160.0, 0.0)
sta8,ap1,100,-61.0,(40.8, 160.0, 0.0)
sta1,ap4,100,-76.0,(41.44, 101.08, 0.0)
sta2,ap4,100,-76.0,(41.44, 101.08, 0.0)
sta3,ap4,100,-76.0,(41.44, 101.08, 0.0)
sta4,ap4,100,-76.0,(41.44, 101.08, 0.0)
sta5,ap1,100,-61.0,(41.2, 160.0, 0.0)
sta6,ap1,100,-61.0,(41.2, 160.0, 0.0)
sta7,ap1,100,-61.0,(41.2, 160.0, 0.0)
sta8,ap1,100,-61.0,(41.2, 160.0, 0.0)
sta1,ap4,100,-76.0,(41.92, 101.44, 0.0)
sta2,ap4,100,-76.0,(41.92, 101.44, 0.0)
sta3,ap4,100,-76.0,(41.92, 101.44, 0.0)
sta4,ap4,100,-76.0,(41.92, 101.44, 0.0)
sta5,ap1,100,-61.0,(41.6, 160.0, 0.0)
sta6,ap1,100,-61.0,(41.6, 160.0, 0.0)
sta7,ap1,100,-61.0,(41.6, 160.0, 0.0)
sta8,ap1,100,-61.0,(41.6, 160.0, 0.0)
sta1,ap4,100,-75.0,(42.4, 101.8, 0.0)
sta2,ap4,100,-75.0,(42.4, 101.8, 0.0)
sta3,ap4,100,-75.0,(42.4, 101.8, 0.0)
sta4,ap4,100,-75.0,(42.4, 101.8, 0.0)
sta5,ap1,100,-60.0,(42.0, 160.0, 0.0)
sta6,ap1,100,-60.0,(42.0, 160.0, 0.0)
sta7,ap1,100,-60.0,(42.0, 160.0, 0.0)
sta8,ap1,100,-60.0,(42.0, 160.0, 0.0)
sta1,ap4,100,-75.0,(42.87, 102.16, 0.0)
sta2,ap4,100,-75.0,(42.87, 102.16, 0.0)
sta3,ap4,100,-75.0,(42.87, 102.16, 0.0)
sta4,ap4,100,-75.0,(42.87, 102.16, 0.0)
sta5,ap1,100,-60.0,(42.4, 160.0, 0.0)
sta6,ap1,100,-60.0,(42.4, 160.0, 0.0)
sta7,ap1,100,-60.0,(42.4, 160.0, 0.0)
sta8,ap1,100,-60.0,(42.4, 160.0, 0.0)
sta1,ap4,100,-75.0,(43.35, 102.51, 0.0)
sta2,ap4,100,-75.0,(43.35, 102.51, 0.0)
sta3,ap4,100,-75.0,(43.35, 102.51, 0.0)
sta4,ap4,100,-75.0,(43.35, 102.51, 0.0)
sta5,ap1,100,-60.0,(42.8, 160.0, 0.0)
sta6,ap1,100,-60.0,(42.8, 160.0, 0.0)
sta7,ap1,100,-60.0,(42.8, 160.0, 0.0)
sta8,ap1,100,-60.0,(42.8, 160.0, 0.0)
sta1,ap4,100,-75.0,(43.83, 102.87, 0.0)
sta2,ap4,100,-75.0,(43.83, 102.87, 0.0)
sta3,ap4,100,-75.0,(43.83, 102.87, 0.0)
sta4,ap4,100,-75.0,(43.83, 102.87, 0.0)
sta5,ap1,100,-60.0,(43.2, 160.0, 0.0)
sta6,ap1,100,-60.0,(43.2, 160.0, 0.0)
sta7,ap1,100,-60.0,(43.2, 160.0, 0.0)
sta8,ap1,100,-60.0,(43.2, 160.0, 0.0)
sta1,ap4,100,-75.0,(44.31, 103.23, 0.0)
sta2,ap4,100,-75.0,(44.31, 103.23, 0.0)
sta3,ap4,100,-75.0,(44.31, 103.23, 0.0)
sta4,ap4,100,-75.0,(44.31, 103.23, 0.0)
sta5,ap1,100,-59.0,(43.6, 160.0, 0.0)
sta6,ap1,100,-59.0,(43.6, 160.0, 0.0)
sta7,ap1,100,-59.0,(43.6, 160.0, 0.0)
sta8,ap1,100,-59.0,(43.6, 160.0, 0.0)
sta1,ap4,100,-75.0,(44.79, 103.59, 0.0)
sta2,ap4,100,-75.0,(44.79, 103.59, 0.0)
sta3,ap4,100,-75.0,(44.79, 103.59, 0.0)
sta4,ap4,100,-75.0,(44.79, 103.59, 0.0)
sta5,ap1,100,-59.0,(44.0, 160.0, 0.0)
sta6,ap1,100,-59.0,(44.0, 160.0, 0.0)
sta7,ap1,100,-59.0,(44.0, 160.0, 0.0)
sta8,ap1,100,-59.0,(44.0, 160.0, 0.0)
sta1,ap4,100,-75.0,(45.27, 103.95, 0.0)
sta2,ap4,100,-75.0,(45.27, 103.95, 0.0)
sta3,ap4,100,-75.0,(45.27, 103.95, 0.0)
sta4,ap4,100,-75.0,(45.27, 103.95, 0.0)
sta5,ap1,100,-59.0,(44.4, 160.0, 0.0)
sta6,ap1,100,-59.0,(44.4, 160.0, 0.0)
sta7,ap1,100,-59.0,(44.4, 160.0, 0.0)
sta8,ap1,100,-59.0,(44.4, 160.0, 0.0)
sta1,ap4,100,-75.0,(45.75, 104.31, 0.0)
sta2,ap4,100,-75.0,(45.75, 104.31, 0.0)
sta3,ap4,100,-75.0,(45.75, 104.31, 0.0)
